                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.33893,                0.27967,                0.84603,                0.95046,                0.87607,                0.94636,                0.64489,                 1.2527,                0.69531,                 1.8071,                0.00142,                0.00142,                0.00142
                    106,                0.32157,                0.26915,                0.83586,                0.96312,                0.89287,                0.95585,                0.65049,                 1.2401,                0.68366,                 1.8001,              0.0013375,              0.0013375,              0.0013375
                    107,                0.32774,                0.27063,                0.84084,                0.91349,                0.91026,                 0.9523,                0.65675,                 1.2406,                 0.6825,                 1.7849,               0.001255,               0.001255,               0.001255
                    108,                0.32427,                0.27182,                0.83972,                0.93287,                0.89081,                0.94927,                0.65441,                 1.2405,                0.69526,                 1.7896,              0.0011725,              0.0011725,              0.0011725
                    109,                0.32468,                0.26908,                0.83902,                0.92872,                0.89087,                0.95056,                0.65184,                 1.2414,                0.69404,                 1.7883,                0.00109,                0.00109,                0.00109
                    110,                0.31934,                 0.2669,                0.83551,                0.94969,                0.88742,                0.95237,                0.65329,                 1.2419,                0.68782,                 1.7952,              0.0010075,              0.0010075,              0.0010075
                    111,                0.32759,                0.27035,                0.84263,                 0.9466,                0.88034,                0.95078,                0.64833,                  1.253,                0.68684,                 1.7997,               0.000925,               0.000925,               0.000925
                    112,                0.31599,                0.26626,                 0.8367,                0.93735,                0.89744,                0.95063,                0.64936,                 1.2564,                0.69435,                 1.8157,              0.0008425,              0.0008425,              0.0008425
                    113,                0.31426,                0.26499,                0.83272,                0.95344,                0.86752,                0.95039,                0.65037,                 1.2585,                 0.7013,                 1.8219,                0.00076,                0.00076,                0.00076
                    114,                0.31451,                0.26521,                0.83953,                0.93219,                0.89744,                0.95439,                0.65937,                 1.2474,                0.67866,                 1.8021,              0.0006775,              0.0006775,              0.0006775
                    115,                0.30203,                0.25814,                0.83339,                0.89661,                0.92735,                0.95354,                0.65573,                 1.2497,                0.68398,                 1.8035,               0.000595,               0.000595,               0.000595
                    116,                0.30026,                0.25889,                0.82917,                0.92923,                0.89316,                  0.952,                0.65475,                 1.2551,                0.69969,                  1.798,              0.0005125,              0.0005125,              0.0005125
                    117,                0.28774,                0.25352,                0.82609,                0.92941,                0.90028,                0.95259,                0.65552,                 1.2445,                 0.6831,                 1.7981,                0.00043,                0.00043,                0.00043
                    118,                 0.2964,                0.25528,                0.82813,                0.95824,                0.88259,                0.95391,                 0.6598,                 1.2307,                  0.676,                 1.7829,              0.0003475,              0.0003475,              0.0003475
                    119,                0.30366,                 0.2583,                0.83183,                0.95788,                0.88462,                 0.9547,                0.65534,                 1.2412,                0.67711,                 1.7958,               0.000265,               0.000265,               0.000265
